time,seconds_elapsed,z,y,x
1761315428697348600,0.0683486328125,0.6540630459785461,-0.19167010486125946,0.01978888548910618
1761315428707396600,0.078396728515625,0.6527184247970581,-0.37790656089782715,0.1331561952829361
1761315428717444600,0.088444580078125,0.6257184743881226,-0.5637032985687256,0.2559729218482971
1761315428727492600,0.09849267578125,0.5309951901435852,-0.6825807094573975,0.3876768946647644
1761315428737540600,0.10854052734375,0.417184978723526,-0.6863085627555847,0.5255317091941833
1761315428747588600,0.118588623046875,0.3248465359210968,-0.5407295823097229,0.6513087749481201
1761315428757636600,0.12863671875,0.27482330799102783,-0.33099764585494995,0.7493506669998169
1761315428767684400,0.138684326171875,0.2750004231929779,-0.14699557423591614,0.7937136292457581
1761315428777731600,0.148731689453125,0.31771165132522583,-0.006736998446285725,0.7507986426353455
1761315428787779600,0.158779541015625,0.39500272274017334,0.0968644917011261,0.6502951979637146
1761315428797827600,0.16882763671875,0.4884048402309418,0.21775177121162415,0.5334359407424927
1761315428807875600,0.17887548828125,0.5719370245933533,0.3519689738750458,0.4142238199710846
1761315428817923600,0.188923583984375,0.6271877288818359,0.4496699571609497,0.278248131275177
1761315428827971600,0.1989716796875,0.6311116218566895,0.49111407995224,0.12777021527290344
1761315428838019600,0.20901953125,0.5765594840049744,0.482749342918396,-0.0515579991042614
1761315428848067600,0.219067626953125,0.46507981419563293,0.406088650226593,-0.26330140233039856
1761315428858115600,0.229115478515625,0.30514392256736755,0.27785158157348633,-0.4546721577644348
1761315428868163600,0.23916357421875,0.11807124316692352,0.1626986414194107,-0.5758342742919922
1761315428878211600,0.249211669921875,-0.04416746273636818,0.05896078795194626,-0.6301134824752808
1761315428888259600,0.259259521484375,-0.1511508971452713,-0.013802364468574524,-0.6152735352516174
1761315428898307600,0.2693076171875,-0.20765972137451172,-0.022156167775392532,-0.5452262759208679
1761315428908355600,0.27935546875,-0.20651189982891083,0.039139945060014725,-0.43202197551727295
1761315428918403600,0.289403564453125,-0.15407904982566833,0.1419571340084076,-0.2967371344566345
1761315428928451600,0.29945166015625,-0.056279782205820084,0.2481890320777893,-0.17642509937286377
1761315428938499300,0.309499267578125,0.06388737261295319,0.33244559168815613,-0.07908815890550613
1761315428948547600,0.319547607421875,0.19909019768238068,0.38111940026283264,-0.008934373036026955
1761315428958595600,0.329595703125,0.3342043459415436,0.43570858240127563,0.03777134791016579
1761315428968642600,0.339642578125,0.43251654505729675,0.4907870292663574,0.06745653599500656
1761315428978690600,0.349690673828125,0.4753071367740631,0.5236560106277466,0.08345174789428711
1761315428988738600,0.359738525390625,0.4843224585056305,0.4980446696281433,0.08500277251005173
1761315428998786600,0.36978662109375,0.48352912068367004,0.41169461607933044,0.09031924605369568
1761315429008834600,0.37983447265625,0.4844457805156708,0.2904224991798401,0.11079096049070358
1761315429018882600,0.389882568359375,0.48445963859558105,0.16399319469928741,0.13370001316070557
1761315429028930600,0.3999306640625,0.48244547843933105,0.041063547134399414,0.15990124642848969
1761315429038978600,0.409978515625,0.5003333687782288,-0.06622402369976044,0.16685982048511505
1761315429049026600,0.420026611328125,0.5342346429824829,-0.15064889192581177,0.16438202559947968
1761315429059074600,0.430074462890625,0.553278386592865,-0.20415499806404114,0.15942400693893433
1761315429069122600,0.44012255859375,0.541477620601654,-0.20615769922733307,0.1545349806547165
1761315429079170600,0.450170654296875,0.5118606090545654,-0.176108717918396,0.13779248297214508
1761315429089218600,0.460218505859375,0.47638463973999023,-0.1190267875790596,0.11627787351608276
1761315429099266600,0.4702666015625,0.4495951235294342,-0.045157622545957565,0.08266212046146393
1761315429109314600,0.480314453125,0.42538538575172424,0.02088371105492115,0.0282145943492651
1761315429119362600,0.490362548828125,0.39285728335380554,0.07147151976823807,-0.026557840406894684
1761315429129410600,0.50041064453125,0.35938745737075806,0.12437361478805542,-0.07571819424629211
1761315429139458600,0.51045849609375,0.3127802908420563,0.20211660861968994,-0.12022361159324646
1761315429149505500,0.520505615234375,0.2758773863315582,0.3124242126941681,-0.14940519630908966
1761315429159553500,0.530553466796875,0.2394421547651291,0.4348366856575012,-0.15741784870624542
1761315429169601500,0.5406015625,0.22932399809360504,0.49850061535835266,-0.14745496213436127
1761315429179649500,0.5506494140625,0.2530018985271454,0.5368716716766357,-0.11753088980913162
1761315429189697500,0.560697509765625,0.3282311260700226,0.5734086632728577,-0.07884581387042999
1761315429199745500,0.57074560546875,0.43840450048446655,0.5936316251754761,-0.03008226864039898
1761315429209793500,0.58079345703125,0.5270534157752991,0.6050752401351929,0.03092862106859684
1761315429219841500,0.590841552734375,0.5548450946807861,0.5957411527633667,0.11386477947235107
1761315429229889500,0.6008896484375,0.5643246173858643,0.5375731587409973,0.227979376912117
1761315429239937500,0.6109375,0.5885804295539856,0.45794227719306946,0.39298510551452637
1761315429249985500,0.620985595703125,0.6342619061470032,0.4554796516895294,0.5933717489242554
1761315429260033500,0.631033447265625,0.6888250112533569,0.5380288362503052,0.8012599349021912
1761315429270081500,0.64108154296875,0.7677589654922485,0.6393733024597168,0.9656129479408264
1761315429280129800,0.6511298828125,0.8532866835594177,0.7504151463508606,1.0750784873962402
1761315429290177500,0.661177490234375,0.941877007484436,0.8590201735496521,1.127259373664856
1761315429300225500,0.6712255859375,1.0147876739501953,0.968861997127533,1.137070655822754
1761315429310273500,0.6812734375,1.0584509372711182,1.0787019729614258,1.1240744590759277
1761315429320320500,0.691320556640625,1.0382530689239502,1.1042802333831787,1.0735231637954712
1761315429330368500,0.701368408203125,0.9463130235671997,1.0273380279541016,0.9746538400650024
1761315429340416800,0.711416748046875,0.7971270084381104,0.9198105335235596,0.8363652229309082
1761315429350464500,0.721464599609375,0.6288782954216003,0.7890693545341492,0.6388060450553894
1761315429360512500,0.731512451171875,0.4563869833946228,0.6192600727081299,0.39396488666534424
1761315429370560800,0.741560791015625,0.2869577407836914,0.46858078241348267,0.1516646295785904
1761315429380608500,0.7516083984375,0.12925200164318085,0.3154650032520294,-0.0657808780670166
1761315429390656500,0.761656494140625,-0.0021262678783386946,0.16257479786872864,-0.2369329184293747
1761315429400704500,0.77170458984375,-0.12762214243412018,0.030060963705182076,-0.3344312310218811
1761315429410752500,0.78175244140625,-0.22905901074409485,-0.09643545746803284,-0.3452282249927521
1761315429420800500,0.791800537109375,-0.2877042293548584,-0.2307130992412567,-0.2841646075248718
1761315429430848500,0.8018486328125,-0.28850850462913513,-0.3086142838001251,-0.1655929535627365
1761315429440896500,0.811896484375,-0.22591249644756317,-0.3297853469848633,-0.019537216052412987
1761315429450944800,0.82194482421875,-0.13062351942062378,-0.33573833107948303,0.13158199191093445
1761315429460992500,0.831992431640625,-0.006853911560028791,-0.461191326379776,0.21046322584152222
1761315429471040500,0.84204052734375,0.1323452591896057,-0.44084903597831726,0.23743918538093567
1761315429481088500,0.852088623046875,0.25597211718559265,-0.37286412715911865,0.19250845909118652
1761315429491135500,0.862135498046875,0.35040754079818726,-0.38019847869873047,0.10774483531713486
1761315429501183500,0.87218359375,0.40862077474594116,-0.43428006768226624,0.04181216284632683
1761315429511234300,0.882234375,0.38528111577033997,-0.4103017747402191,0.044553618878126144
1761315429521282600,0.892282470703125,0.2554738521575928,-0.23297493159770966,0.12134027481079102
1761315429531330300,0.902330322265625,0.053404368460178375,0.001528920722194016,0.2147115021944046
1761315429541378600,0.912378662109375,-0.17611750960350037,0.17598994076251984,0.27145814895629883
1761315429551426300,0.92242626953125,-0.33281683921813965,0.2827414274215698,0.27818500995635986
1761315429561474300,0.932474365234375,-0.4034164249897003,0.2868000864982605,0.20793534815311432
1761315429571522600,0.9425224609375,-0.42516326904296875,0.13987614214420319,0.06838784366846085
1761315429581570300,0.9525703125,-0.4167753756046295,-0.10994168370962143,-0.08211085200309753
1761315429591618300,0.962618408203125,-0.3829588294029236,-0.3890191316604614,-0.22534124553203583
1761315429601666600,0.97266650390625,-0.324424684047699,-0.6179670691490173,-0.336416631937027
1761315429611714300,0.98271435546875,-0.23751269280910492,-0.7544945478439331,-0.4057227373123169
1761315429621762300,0.99276220703125,-0.16224589943885803,-0.793580174446106,-0.4276605248451233
1761315429631810300,1.002810302734375,-0.11834661662578583,-0.726695716381073,-0.40393441915512085
1761315429641858300,1.0128583984375,-0.1055447980761528,-0.5676783323287964,-0.3459811210632324
1761315429651906600,1.022906494140625,-0.08919938653707504,-0.36779293417930603,-0.2713651955127716
1761315429661953500,1.03295361328125,-0.07585135102272034,-0.1685037910938263,-0.201569065451622
