time,seconds_elapsed,z,y,x
1761333866918063900,0.05806396484375,8.678768157958984,1.698904037475586,-0.14117653667926788
1761333866936764200,0.07676416015625,8.70508861541748,1.6055840253829956,-0.08614161610603333
1761333866955464200,0.095464111328125,8.812766075134277,1.6103696823120117,-0.05503492057323456
1761333866974164200,0.114164306640625,9.20279598236084,1.6079767942428589,0.17228323221206665
1761333866992864500,0.132864501953125,9.468399047851562,1.6582261323928833,0.48095735907554626
1761333867011564500,0.151564453125,9.437292098999023,1.9142581224441528,0.727418065071106
1761333867030264600,0.1702646484375,9.609575271606445,2.179861545562744,0.9667003750801086
1761333867048964900,0.18896484375,9.743574142456055,2.2707886695861816,1.098305583000183
1761333867067665000,0.207664794921875,9.743574142456055,2.335394859313965,1.093519926071167
1761333867086365200,0.226365234375,9.987641334533691,2.256431818008423,1.0121639966964722
1761333867105065200,0.245065185546875,9.8871431350708,2.155933141708374,0.849452018737793
1761333867123765500,0.263765625,9.34157943725586,2.1607189178466797,0.5982056856155396
1761333867142465500,0.282465576171875,9.044869422912598,2.1774685382843018,0.4450650215148926
1761333867161165600,0.30116552734375,9.329615592956543,2.076970100402832,0.5335994362831116
1761333867179865900,0.319865966796875,9.509077072143555,2.0338993072509766,0.6173482537269592
1761333867198566000,0.33856591796875,9.702896118164062,2.00518536567688,0.5455635786056519
1761333867217266000,0.357265869140625,9.832108497619629,1.9669002294540405,0.5623133182525635
1761333867235966200,0.37596630859375,9.633503913879395,2.0338993072509766,0.4785645306110382
1761333867254666200,0.394666259765625,9.494720458984375,2.0673987865448,0.4737788736820221
1761333867273366500,0.413366455078125,9.542576789855957,2.062613010406494,0.5048855543136597
1761333867292066600,0.432066650390625,9.54496955871582,2.1128623485565186,0.5383850932121277
1761333867310766800,0.450766845703125,9.604789733886719,2.0315065383911133,0.5790630578994751
1761333867329467000,0.469466796875,9.712467193603516,1.9716858863830566,0.5670989751815796
1761333867348167000,0.4881669921875,9.714859962463379,1.9405791759490967,0.5096712112426758
1761333867366867000,0.506866943359375,9.839286804199219,1.8400806188583374,0.4091726839542389
1761333867385567200,0.525567138671875,10.234102249145508,1.8616160154342651,0.5048855543136597
1761333867404267300,0.544267333984375,10.336994171142578,1.7252250909805298,0.3326023519039154
1761333867422967600,0.562967529296875,10.164710998535156,1.7730815410614014,0.04307080805301666
1761333867441667600,0.58166748046875,9.915857315063477,1.7826528549194336,0.009571290574967861
1761333867460368000,0.600367919921875,9.53779125213623,1.765903115272522,-0.0526420995593071
1761333867479068000,0.61906787109375,9.32722282409668,1.8735800981521606,-0.23688943684101105
1761333867497768200,0.637768310546875,9.396614074707031,1.765903115272522,-0.37806597352027893
1761333867516468200,0.65646826171875,9.664610862731934,1.6773686408996582,-0.39481574296951294
1761333867535168300,0.675168212890625,9.757930755615234,1.612762451171875,-0.27756741642951965
1761333867553868300,0.693868408203125,9.784252166748047,1.5912270545959473,-0.11246266216039658
1761333867572568600,0.712568603515625,9.767501831054688,1.5672988891601562,-0.1746760457754135
1761333867591268600,0.7312685546875,9.827322959899902,1.6031911373138428,-0.30149564146995544
1761333867609969000,0.749968994140625,9.772287368774414,1.495514154434204,-0.32303106784820557
1761333867628669000,0.7686689453125,9.942177772521973,1.459621787071228,-0.397208571434021
1761333867647369200,0.787369140625,10.076175689697266,1.4069796800613403,-0.4666004180908203
1761333867666069200,0.8060693359375,10.061819076538086,1.4476577043533325,-0.5599204897880554
1761333867684769300,0.824769287109375,10.1814603805542,1.3830515146255493,-0.5670989751815796
1761333867703469600,0.843469482421875,10.313065528869629,1.3902299404144287,-0.4163511395454407
1761333867722169600,0.862169677734375,10.272387504577637,1.4979069232940674,-0.349352091550827
1761333867740870000,0.880869873046875,9.915857315063477,1.5744773149490356,-0.3732803463935852
1761333867759570000,0.89956982421875,9.561718940734863,1.6510475873947144,-0.5335994362831116
1761333867778270000,0.91827001953125,9.43489933013916,1.648654818534851,-0.727418065071106
1761333867796970200,0.93697021484375,9.645467758178711,1.5433706045150757,-0.5886343717575073
1761333867815670300,0.955670166015625,9.724431037902832,1.5026925802230835,-0.5862415432929993
1761333867834370600,0.97437060546875,9.702896118164062,1.5074782371520996,-0.7034898400306702
1761333867853070600,0.993070556640625,9.707681655883789,1.4500504732131958,-0.6699903607368469
1761333867871770600,1.0117705078125,9.489934921264648,1.3591232299804688,-0.6364908218383789
1761333867890471000,1.030470947265625,9.291330337524414,1.4476577043533325,-0.7130611538887024
1761333867909171000,1.0491708984375,9.104690551757812,1.5409778356552124,-0.8279166221618652
1761333867927871200,1.067871337890625,9.032905578613281,1.6103696823120117,-0.7154539823532104
1761333867946571300,1.0865712890625,8.95394229888916,1.6390835046768188,-0.6915257573127747
1761333867965271600,1.105271484375,9.229117393493652,1.6654045581817627,-0.5814558863639832
1761333867983971600,1.1239716796875,9.8871431350708,1.7467604875564575,-0.30149564146995544
1761333868002671600,1.142671630859375,10.588240623474121,1.7324036359786987,-0.08614161610603333
1761333868021372000,1.161371826171875,11.169695854187012,1.6007983684539795,-0.014356935396790504
1761333868040072000,1.180072021484375,11.483156204223633,1.4811571836471558,-0.18424734473228455
1761333868058772200,1.198772216796875,11.21515941619873,1.5002998113632202,-0.44745782017707825
1761333868077472300,1.21747216796875,10.49970531463623,1.5936198234558105,-0.760917603969574
1761333868096172300,1.23617236328125,9.889535903930664,1.6366907358169556,-0.8398807644844055
1761333868114872600,1.25487255859375,9.58325481414795,1.667797327041626,-0.7561319470405579
1761333868133572600,1.273572509765625,9.44447135925293,1.7826528549194336,-0.48095735907554626
