time,seconds_elapsed,z,y,x
1761315251542408000,2.224407958984375,-0.9196319580078125,-0.4109649658203125,-0.0545806884765625
1761315251552455000,2.234454833984375,-0.9190216064453125,-0.4059295654296875,-0.0507049560546875
1761315251562502000,2.244501953125,-0.91900634765625,-0.40472412109375,-0.048919677734375
1761315251572550000,2.2545498046875,-0.9199676513671875,-0.4046478271484375,-0.050323486328125
1761315251582597000,2.26459716796875,-0.9213104248046875,-0.401641845703125,-0.0580596923828125
1761315251592644000,2.27464404296875,-0.929656982421875,-0.3940277099609375,-0.06707763671875
1761315251602691800,2.28469189453125,-0.9385986328125,-0.3878173828125,-0.0738677978515625
1761315251612738800,2.29473876953125,-0.944000244140625,-0.3809051513671875,-0.0805816650390625
1761315251622785800,2.304785888671875,-0.949249267578125,-0.37017822265625,-0.0829620361328125
1761315251632833000,2.3148330078125,-0.9566650390625,-0.3549041748046875,-0.0814361572265625
1761315251642881000,2.324881103515625,-0.9638214111328125,-0.337249755859375,-0.0782928466796875
1761315251652928000,2.334927978515625,-0.9609222412109375,-0.326629638671875,-0.0753326416015625
1761315251662974700,2.344974609375,-0.9365692138671875,-0.3356781005859375,-0.063629150390625
1761315251673023000,2.35502294921875,-0.9091949462890625,-0.3601837158203125,-0.034912109375
1761315251683070000,2.365070068359375,-0.91552734375,-0.3849945068359375,-0.00042724609375
1761315251693117000,2.375116943359375,-0.9515838623046875,-0.40185546875,0.029388427734375
1761315251703165000,2.3851650390625,-0.9746856689453125,-0.414276123046875,0.035308837890625
1761315251713212000,2.3952119140625,-0.9795074462890625,-0.420013427734375,0.0248565673828125
1761315251723259000,2.4052587890625,-1.0085296630859375,-0.3986663818359375,0.003265380859375
1761315251733305900,2.415305908203125,-1.055389404296875,-0.3457489013671875,-0.0390167236328125
1761315251743353900,2.425353759765625,-1.0881805419921875,-0.2941131591796875,-0.07916259765625
1761315251753400800,2.43540087890625,-1.088897705078125,-0.25897216796875,-0.1015777587890625
1761315251763448000,2.445447998046875,-1.057464599609375,-0.226715087890625,-0.105224609375
1761315251773495800,2.455495849609375,-1.0157470703125,-0.1845855712890625,-0.102935791015625
1761315251783542800,2.465542724609375,-0.9842376708984375,-0.15008544921875,-0.093994140625
1761315251793589800,2.47558984375,-0.9492034912109375,-0.136138916015625,-0.085113525390625
1761315251803638000,2.485637939453125,-0.89984130859375,-0.128662109375,-0.0710601806640625
1761315251813685000,2.49568505859375,-0.860809326171875,-0.1298065185546875,-0.050933837890625
1761315251823732000,2.50573193359375,-0.8462371826171875,-0.1578369140625,-0.03033447265625
1761315251833779000,2.515779052734375,-0.8598175048828125,-0.1836700439453125,0.0078125
1761315251843827000,2.525826904296875,-0.876556396484375,-0.1887359619140625,0.0375823974609375
1761315251853874000,2.5358740234375,-0.8907470703125,-0.1992645263671875,0.0471343994140625
1761315251863921000,2.5459208984375,-0.91070556640625,-0.218994140625,0.0555419921875
1761315251873969000,2.555968994140625,-0.9276885986328125,-0.22808837890625,0.0536651611328125
1761315251884015900,2.566015869140625,-0.9493865966796875,-0.2300567626953125,0.0484466552734375
1761315251894063000,2.57606298828125,-0.969573974609375,-0.2313232421875,0.041534423828125
1761315251904110800,2.58611083984375,-0.976593017578125,-0.2252349853515625,0.032196044921875
1761315251914157800,2.59615771484375,-0.979888916015625,-0.210296630859375,0.022064208984375
1761315251924204800,2.606204833984375,-0.997039794921875,-0.1885986328125,0.0154876708984375
1761315251934252000,2.616251953125,-1.0239105224609375,-0.1752471923828125,0.000457763671875
1761315251944300000,2.626300048828125,-1.0328826904296875,-0.1734161376953125,-0.02301025390625
1761315251954347000,2.636346923828125,-1.0290374755859375,-0.1739044189453125,-0.0457305908203125
1761315251964393700,2.646393798828125,-1.0329132080078125,-0.1717071533203125,-0.061492919921875
1761315251974442000,2.65644189453125,-1.038909912109375,-0.1526336669921875,-0.067138671875
1761315251984489000,2.666489013671875,-1.042633056640625,-0.125732421875,-0.056060791015625
1761315251994536000,2.676535888671875,-1.042449951171875,-0.1241455078125,-0.0487518310546875
1761315252004584000,2.686583984375,-1.025421142578125,-0.1471405029296875,-0.06988525390625
1761315252014631000,2.696630859375,-0.9859161376953125,-0.170654296875,-0.1063232421875
1761315252024678000,2.706677978515625,-0.9551544189453125,-0.20257568359375,-0.13226318359375
1761315252034724900,2.716724853515625,-0.94659423828125,-0.2144927978515625,-0.131622314453125
1761315252044772900,2.72677294921875,-0.95166015625,-0.206695556640625,-0.116363525390625
1761315252054819800,2.73681982421875,-0.962188720703125,-0.189544677734375,-0.102813720703125
1761315252064867000,2.7468671875,-0.9786376953125,-0.1790618896484375,-0.0934906005859375
1761315252074914800,2.756914794921875,-1.0144805908203125,-0.1741180419921875,-0.0865325927734375
1761315252084961800,2.7669619140625,-1.0397186279296875,-0.1719818115234375,-0.0915679931640625
1761315252095008800,2.7770087890625,-1.029541015625,-0.1745758056640625,-0.1115875244140625
1761315252105057000,2.78705712890625,-1.0257720947265625,-0.1827392578125,-0.1314239501953125
1761315252115104000,2.79710400390625,-1.0428619384765625,-0.1692047119140625,-0.1451873779296875
1761315252125151000,2.80715087890625,-1.0700225830078125,-0.1555938720703125,-0.1586456298828125
1761315252135198000,2.817197998046875,-1.0608673095703125,-0.1549530029296875,-0.172637939453125
1761315252145246000,2.827245849609375,-1.0218353271484375,-0.164947509765625,-0.170623779296875
1761315252155293000,2.83729296875,-0.9972991943359375,-0.1811065673828125,-0.160888671875
1761315252165340000,2.84733984375,-0.9977569580078125,-0.19097900390625,-0.1533203125
1761315252175388000,2.857387939453125,-1.013092041015625,-0.199432373046875,-0.1323699951171875
1761315252185435000,2.867434814453125,-1.0146636962890625,-0.19659423828125,-0.106658935546875
1761315252195482000,2.877482177734375,-1.00189208984375,-0.18194580078125,-0.0938262939453125
1761315252205529900,2.88752978515625,-0.976287841796875,-0.167755126953125,-0.0850830078125
1761315252215576800,2.897576904296875,-0.9453277587890625,-0.1565399169921875,-0.0679168701171875
1761315252225623800,2.907623779296875,-0.923187255859375,-0.1511993408203125,-0.0436553955078125
1761315252235670800,2.9176708984375,-0.9062042236328125,-0.1533660888671875,-0.0230560302734375
1761315252245719000,2.927718994140625,-0.9070892333984375,-0.164703369140625,-0.003448486328125
1761315252255766000,2.93776611328125,-0.925750732421875,-0.177947998046875,0.0149383544921875
1761315252265813000,2.94781298828125,-0.92578125,-0.1912689208984375,0.0204010009765625
1761315252275861000,2.957861083984375,-0.906036376953125,-0.200164794921875,0.0227203369140625
